SITE_CODE,DAILY_CONS
0001BB,6.62%
0001BR,5.06%
0001KO,10.46%
0002BB,6.70%
0002BR,8.41%
0002KO,6.96%
0003BB,9.68%
0003BR,5.68%
0003KO,8.53%
0004BB,21.60%
0004BR,7.16%
0004KO,7.86%
0005KO,7.66%
0006BB,10.61%
0006BR,5.47%
0007BB,18.99%
0007BR,15.54%
0007KO,8.23%
0008BB,3.57%
0008BR,4.10%
0008KO,6.20%
0009BB,6.81%
0009BR,5.57%
0009KO,6.64%
0010BB,7.08%
0010BR,6.25%
0010KO,6.20%
0011BB,12.05%
0011BR,7.25%
0011KO,6.68%
0012BB,8.27%
0012BR,8.29%
0012KO,9.32%
0013BB,4.15%
0013BR,8.28%
0013KO,9.04%
0014BR,3.56%
0014KO,8.74%
0015BB,6.35%
0015BR,2.57%
0015KO,13.76%
0016BB,16.25%
0016BR,12.11%
0016KO,10.54%
0017BB,6.45%
0017BR,12.32%
0017KO,15.12%
0018BB,5.56%
0018BR,9.32%
0018KO,6.36%
0019BB,6.32%
0019BR,4.62%
0019KO,14.43%
0020BB,2.49%
0020BR,9.03%
0020KO,5.79%
0021BB,1.89%
0021BR,12.60%
0021KO,6.61%
0022BB,7.26%
0022BR,8.52%
0022KO,11.07%
0023BB,7.54%
0023BR,8.02%
0023KO,13.29%
0024BB,3.93%
0024BR,3.50%
0024KO,13.76%
0025BB,7.60%
0025BR,5.66%
0025KO,3.98%
0026BB,10.21%
0026BR,9.21%
0026KO,7.68%
0027BR,7.74%
0027KO,11.61%
0028BB,16.67%
0028KO,9.73%
0029BB,6.90%
0029BR,6.20%
0029KO,9.66%
0030BB,6.73%
0030BR,9.47%
0030KO,28.41%
0031BB,6.82%
0031BR,4.55%
0031KO,15.40%
0032BB,16.37%
0032BR,7.59%
0032KO,9.98%
0033BB,8.96%
0033BR,6.98%
0033KO,14.79%
0034BB,11.67%
0034BR,10.29%
0034KO,7.74%
0035BB,22.53%
0035BR,5.81%
0035KO,8.25%
0036BB,16.85%
0036BR,6.83%
0036KO,7.83%
0037BB,3.63%
0037BR,56.58%
0037KO,4.16%
0038BB,28.78%
0038BR,7.15%
0038KO,5.22%
0039BB,0.84%
0039BR,10.35%
0039KO,11.53%
0040BB,4.68%
0040BR,5.77%
0040KO,8.17%
0041BR,6.38%
0041KO,11.77%
0042BB,1.12%
0042BR,5.29%
0042KO,3.29%
0043BB,11.82%
0043BR,0.54%
0043KO,14.72%
0044BB,12.74%
0044BR,4.98%
0044KO,10.49%
0045BB,21.06%
0045BR,11.89%
0045KO,16.71%
0046BB,1.98%
0046BR,7.47%
0046KO,6.40%
0047BB,21.80%
0047BR,4.94%
0047KO,4.11%
0048BB,12.38%
0048BR,11.86%
0048KO,0.99%
0049BB,9.15%
0049BR,20.33%
0050BR,15.51%
0050KO,23.88%
0051BB,4.49%
0051BR,6.72%
0051KO,29.38%
0052BR,9.36%
0052KO,7.93%
0053BB,5.18%
0053BR,7.15%
0053KO,7.15%
0054BB,7.93%
0054BR,7.12%
0054KO,11.82%
0055BR,10.12%
0055KO,8.06%
0056BB,101.23%
0056BR,5.63%
0056KO,3.71%
0057BR,6.79%
0057KO,6.54%
0058BR,36.68%
0058KO,14.43%
0059BR,7.11%
0059KO,13.26%
0060BB,4.65%
0060BR,6.07%
