,SITE_CODE,BEGIN,END,KWH_PERIOD,PERIOD_EUR,NB_DAYS,DAILY_CONS,NB_INVOICES
0,0001BB,01/01/2018,31/01/2018,2447,"316,46",31,78.94,35
1,0001BB,01/02/2018,28/02/2018,2211,"286,82",28,78.96,35
2,0001BB,01/03/2018,31/03/2018,2450,"317,32",31,79.03,35
3,0001BB,01/04/2018,30/04/2018,2431,"315,00",30,81.03,35
4,0001BB,01/05/2018,31/05/2018,2574,"333,37",31,83.03,35
5,0001BB,01/06/2018,30/06/2018,2830,"365,27",30,94.33,35
6,0001BB,01/07/2018,31/07/2018,3028,"390,39",31,97.68,35
7,0001BB,01/08/2018,31/08/2018,3053,"393,99",31,98.48,35
8,0001BB,01/09/2018,30/09/2018,2915,"378,35",30,97.17,35
9,0001BB,01/10/2018,31/10/2018,2986,"387,05",31,96.32,35
10,0001BB,01/11/2018,30/11/2018,2871,"372,47",30,95.7,35
11,0001BB,01/12/2018,31/12/2018,3086,"399,30",31,99.55,35
12,0001BB,01/01/2019,31/01/2019,3094,"381,40",31,99.81,35
13,0001BB,01/02/2019,28/02/2019,2767,"345,87",28,98.82,35
14,0001BB,01/03/2019,31/03/2019,3059,"378,18",31,98.68,35
15,0001BB,01/04/2019,30/04/2019,2761,"340,84",30,92.03,35
16,0001BB,01/05/2019,31/05/2019,2844,"349,26",31,91.74,35
17,0001BB,01/06/2019,30/06/2019,3009,"369,19",30,100.3,35
18,0001BB,01/07/2019,31/07/2019,3016,"371,20",31,97.29,35
19,0001BB,01/08/2019,31/08/2019,3089,"380,42",31,99.65,35
20,0001BB,01/09/2019,30/09/2019,2914,"361,36",30,97.13,35
21,0001BB,01/10/2019,31/10/2019,2963,"366,70",31,95.58,35
22,0001BB,01/11/2019,30/11/2019,2797,"345,89",30,93.23,35
23,0001BB,01/12/2019,31/12/2019,2859,"353,08",31,92.23,35
24,0001BB,01/01/2020,31/01/2020,2863,"414,93",31,92.35,35
25,0001BB,01/02/2020,29/02/2020,2663,"387,22",29,91.83,35
26,0001BB,01/03/2020,31/03/2020,2759,"403,25",31,89.0,35
27,0001BB,01/04/2020,30/04/2020,2680,"390,79",30,89.33,35
28,0001BB,01/05/2020,31/05/2020,2797,"407,48",31,90.23,35
29,0001BB,01/06/2020,30/06/2020,2796,"407,77",30,93.2,35
30,0001BB,01/07/2020,31/07/2020,2952,"429,09",31,95.23,35
